SourceStimuliName,SourceStimuliArray,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise
Happy,5,,,,,,,,,,,,,,,,,,,,
Happy,5,,,,,,,,,,,,,,,,,,,,
Happy,5,0.751989961,5.52E-08,9.02E-06,0.072248444,0.318606317,0.000173967,4.36E-06,0.384836912,0.090607524,0.00052527,0.343025774,0.01458114,0.019550443,12.00790787,0.954218686,0.005125301,5.14E-06,0.002703762,2.967763424,9.05E-09
Happy,5,0.387636513,1.50E-07,1.42E-05,0.058705628,0.284006566,5.54E-05,1.28E-06,0.435094208,0.148892388,0.000514434,0.276014924,0.020937821,0.018881511,7.580543518,0.656802177,0.004577041,4.16E-06,0.004607398,3.029587746,7.98E-09
Happy,5,0.299396873,1.73E-07,3.57E-05,0.037780553,0.226752281,3.69E-05,8.98E-07,0.376766503,0.109311067,0.000566902,0.209865928,0.014650643,0.016641444,6.392175198,0.524524212,0.00460377,4.99E-06,0.01159304,2.656371117,9.86E-09
Happy,5,0.307247937,2.61E-07,5.62E-05,0.041914612,0.215459898,1.20E-05,8.44E-07,0.333128512,0.132614106,0.000682374,0.241785362,0.013182408,0.016229725,7.258186817,0.528784096,0.004736446,8.19E-06,0.015096419,2.009076118,1.74E-08
Happy,5,0.322942078,5.52E-07,6.69E-05,0.038969025,0.232620165,1.28E-05,7.80E-07,0.356247872,0.123233169,0.000698931,0.231731892,0.011560011,0.015066536,8.364370346,0.513308585,0.006892424,1.18E-05,0.016449055,2.183946609,2.87E-08
Happy,5,0.231994197,8.58E-07,0.000103788,0.038577866,0.226161227,5.83E-06,6.49E-07,0.37478146,0.121113688,0.000906775,0.226316974,0.014419606,0.016577192,9.484660149,0.46237278,0.009192619,1.08E-05,0.026662452,2.507167339,2.84E-08
Happy,5,0.23684743,1.17E-06,0.000123688,0.03764306,0.19079192,9.15E-06,6.48E-07,0.376802444,0.110587269,0.000972183,0.202209949,0.013926163,0.016159663,8.605202675,0.462091953,0.009821295,1.22E-05,0.027066,2.362384796,3.41E-08
Happy,5,0.216773838,1.37E-06,0.000112509,0.041112516,0.182803705,6.46E-06,6.29E-07,0.313390613,0.11532069,0.001128477,0.170041576,0.012211333,0.015092677,9.054873466,0.440951467,0.008618759,9.54E-06,0.025961155,1.859864593,2.68E-08
Happy,5,0.251704365,1.14E-06,0.000105882,0.038888305,0.166737825,8.39E-06,4.95E-07,0.274943739,0.123571619,0.001372308,0.178328767,0.012560696,0.01470053,7.705212593,0.404598266,0.008827421,9.07E-06,0.025059834,1.563890696,2.54E-08
Happy,5,0.266578287,1.32E-06,0.000117182,0.04141451,0.171288669,2.07E-06,4.80E-07,0.246954829,0.126375318,0.001316127,0.187749326,0.011250756,0.014007483,7.851360798,0.383356512,0.009081539,1.22E-05,0.026699133,1.407239795,3.57E-08
Happy,5,0.26100719,1.34E-06,0.000105486,0.040834568,0.189440012,2.54E-06,5.92E-07,0.220784053,0.120797142,0.001246385,0.179112822,0.010935165,0.013512027,7.516848087,0.390522569,0.008635657,9.63E-06,0.023108328,1.467371702,2.84E-08
Happy,5,0.268823594,1.44E-06,9.20E-05,0.042126074,0.20391655,3.34E-06,5.86E-07,0.22897251,0.131339356,0.001317185,0.19594866,0.011740242,0.014791306,7.480409622,0.398002565,0.008794167,6.98E-06,0.020571947,1.492284179,1.99E-08
Happy,5,0.283247024,1.75E-06,0.000105065,0.04196525,0.207116187,1.31E-05,7.73E-07,0.228061691,0.134978771,0.001318174,0.189421088,0.011641582,0.014986899,6.804403305,0.413235873,0.008587707,6.70E-06,0.022683088,1.533821583,1.80E-08
Happy,5,0.29781571,1.65E-06,0.000115273,0.039461024,0.218055531,1.05E-05,9.29E-07,0.248040617,0.145652547,0.001382078,0.230700776,0.01132644,0.01483283,6.200249195,0.429294646,0.00798108,7.44E-06,0.02327523,1.832737088,1.78E-08
Happy,5,0.307011157,1.79E-06,0.000119638,0.036447246,0.210713148,7.64E-06,7.49E-07,0.235549986,0.1415665,0.001425157,0.217331216,0.011089898,0.014169481,5.619456768,0.408881932,0.007637213,6.30E-06,0.024119003,1.701981425,1.41E-08
